,Workout Name,Body Part,Equipment
1,Single-Leg Press,Legs,Machine
2,Landmine twist,Abs,Other
3,Weighted pull-up,Back,Other
4,T-Bar Row with Handle,Back,Other
5,Atlas Stones,Back,Other
6,Clean from Blocks,Legs,Barbell
7,Incline Hammer Curls,Biceps,Dumbbell
8,Barbell glute bridge,Legs,Barbell
9,Triceps dip,Triceps,Body Only
10,Barbell Full Squat,Legs,Barbell
11,Barbell deficit deadlift,Back,Barbell
12,Barbell Deadlift,Legs,Barbell
13,Romanian Deadlift With Dumbbells,Legs,Dumbbell
14,Tire flip,Legs,Other
15,Clean Deadlift,Legs,Barbell
16,Elbow plank,Abs,Body Only
17,Bottoms Up,Abs,Body Only
18,Barbell back squat to box,Legs,Barbell
19,Push-press,Legs,Barbell
20,Suspended ab fall-out,Abs,Other
21,Power snatch-,Legs,Barbell
22,Sumo deadlift,Legs,Barbell
23,Hang Clean,Legs,Barbell
24,Dumbbell V-Sit Cross Jab,Abs,Dumbbell
25,Reverse Band Box Squat,Legs,
26,Standing cable low-to-high twist,Abs,Cable
27,Decline EZ-bar skullcrusher,Triceps,E-Z Curl Bar
28,Wide-grip barbell curl,Biceps,Barbell
29,Dumbbell spell caster,Abs,Dumbbell
30,Dumbbell floor press,Triceps,Dumbbell
31,Pullups,Back,Body Only
32,Decline reverse crunch,Abs,Other
33,Dumbbell Bench Press,Chest,Dumbbell
34,Jumping rope,Legs,Body Only
35,EZ-bar spider curl,Biceps,Barbell
36,Smith machine shrug,Shoulders,Machine
37,Romanian Deadlift from Deficit,Legs,Barbell
38,Power Snatch,Legs,Barbell
39,Pushups,Chest,Body Only
40,Barbell walking lunge,Legs,Barbell
41,Front Squats With Two Kettlebells,Legs,Kettlebells
42,Spider crawl,Abs,Body Only
43,Power Clean from Blocks,Legs,Barbell
44,Single Leg Push-off,Legs,Other
45,Hip Circles (Prone),Legs,
46,Reverse-grip bent-over row,Back,Barbell
47,Back extension,Back,Body Only
48,Close-grip bench press,Chest,Barbell
49,Cocoons,Abs,Body Only
50,Cross-Body Crunch,Abs,Body Only
51,Dumbbell Flyes,Chest,Dumbbell
52,Hammer Curls,Biceps,Dumbbell
53,Incline dumbbell bench press,Chest,Dumbbell
54,Low-cable cross-over,Chest,Cable
55,Single-arm high-cable side bend,Abs,Cable
56,EZ-Bar Curl,Biceps,E-Z Curl Bar
57,Olympic Squat,Legs,Barbell
58,Natural Glute Ham Raise,Legs,Body Only
59,Axle Deadlift,Back,Other
60,Zottman Curl,Biceps,
61,Glute ham raise-,Legs,None
62,Leverage Shrug,Shoulders,Machine
63,Cable V-bar push-down,Triceps,Cable
64,Stair climber,Legs,Machine
65,Elbow-to-knee crunch,Abs,Body Only
66,Kettlebell Pistol Squat,Legs,Kettlebells
67,Biceps curl to shoulder press,Biceps,Dumbbell
68,Weighted bench dip,Triceps,Body Only
69,Barbell Hip Thrust,Legs,Barbell
70,Forward lunge,Legs,Body Only
71,Barbell Bench Press - Medium Grip,Chest,Barbell
72,Chest dip,Chest,Other
73,Barbell Curl,Biceps,Barbell
74,EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar
75,One-Arm Dumbbell Row,Back,Dumbbell
76,Concentration curl,Biceps,Dumbbell
77,Decline Crunch,Abs,Body Only
78,Decline Dumbbell Flyes,Chest,Dumbbell
79,Hanging toes-to-bar,Abs,Body Only
80,Narrow-stance squat,Legs,Barbell
81,Kneeling cable oblique crunch,Abs,Cable
82,Reverse Grip Triceps Pushdown,Triceps,Cable
83,Bear crawl sled drag,Legs,Other
84,Rocky Pull-Ups/Pulldowns,Back,Other
85,Box Squat with Bands,Legs,Barbell
86,Flexor Incline Dumbbell Curls,Biceps,Dumbbell
87,Thigh adductor,Legs,Machine
88,Machine Bicep Curl,Biceps,Machine
89,Hanging Oblique Knee Raise,Abs,Body Only
90,Bodyweight Flyes,Chest,E-Z Curl Bar
91,Push-Ups - Close Triceps Position,Triceps,Body Only
92,One-Arm Long Bar Row,Back,Barbell
93,Overhead cable curl,Biceps,Cable
94,Incline cable chest fly,Chest,Cable
95,Single-leg depth squat,Legs,Bands
96,Dumbbell suitcase crunch,Abs,Medicine Ball
97,Plate Twist,Abs,Other
98,Single-leg cable hip extension,Legs,Cable
99,Weighted Jump Squat,Legs,Barbell
100,Squat with Chains,Legs,Barbell
101,Gorilla Chin/Crunch,Abs,Body Only
102,Kneeling cable triceps extension,Triceps,Cable
103,Kneeling Cable Crunch With Alternating Oblique Twists,Abs,Cables
104,Bicycling,Legs,Other
105,Weighted Crunches,Abs,Other
106,Single-arm cable triceps extension,Triceps,Cable
107,Barbell roll-out,Abs,Barbell
108,Kneeling cable crunch,Abs,Cable
109,Exercise Ball Pull-In,Abs,Exercise Ball
110,Hanging leg raise,Abs,Body Only
111,Barbell Ab Rollout - On Knees,Abs,Barbell
112,Barbell Squat,Legs,Barbell
113,Decline barbell bench press,Chest,Barbell
114,Dumbbell Bicep Curl,Biceps,Dumbbell
115,Dumbbell Goblet Squat,Legs,Dumbbell
116,Dumbbell squat,Legs,Dumbbell
117,Barbell front squat,Legs,Barbell
118,Close-grip pull-down,Back,Cable
119,Triceps Pushdown - Rope Attachment,Triceps,Cables
120,Side-to-side box skip,Legs,Body Only
121,Seated triceps press,Triceps,Dumbbell
122,Pull-up,Back,Body Only
123,Wide-grip bench press,Chest,Barbell
124,Close-grip EZ-bar curl,Biceps,Barbell
125,T-Bar Row,Back,Other
126,Bent Over Two-Arm Long Bar Row,Back,Barbell
127,Muscle Up,Back,Body Only
128,Incline EZ-bar skullcrusher,Triceps,Barbell
129,Alternating sit-through with crunch,Back,Other
130,Wide-Grip Decline Barbell Bench Press,Chest,Barbell
131,Rower,Back,Machine
132,Snatch Deadlift,Legs,Barbell
133,Decline Close-Grip Bench To Skull Crusher,Triceps,Barbell
134,Lying Leg Curls,Legs,Machine
135,Cross-body hammer curl,Biceps,Dumbbell
136,Shotgun row,Back,Cable
137,Ab Roller,Abs,Other
138,Reverse-grip incline dumbbell bench press,Chest,Dumbbell
139,Leg Press,Legs,Machine
140,Stiff-Legged Dumbbell Deadlift,Legs,Dumbbell
141,Cable Crossover,Chest,Cable
142,Barbell Incline Bench Press Medium-Grip,Chest,Barbell
143,Incline Dumbbell Flyes,Chest,Dumbbell
144,Seated Cable Rows,Back,Cable
145,Tricep Dumbbell Kickback,Triceps,Dumbbell
146,Otis-Up,Abs,Other
147,Mountain climber,Abs,Body Only
148,Ab bicycle,Abs,Body Only
149,Barbell forward lunge,Legs,Barbell
150,3/4 sit-up,Abs,Body Only
151,Exercise ball leg curl,Legs,Exercise Ball
152,Glute bridge,Legs,Body Only
153,Close-Grip Front Lat Pulldown,Back,Cable
154,Dip Machine,Triceps,Cable
155,Incline dumbbell row,Back,Dumbbell
156,Dumbbell Lunges,Legs,Dumbbell
157,Preacher Curl,Biceps,Barbell
158,Reverse crunch,Abs,Body Only
159,Standing Dumbbell Triceps Extension,Triceps,Dumbbell
160,Elliptical trainer,Legs,Machine
161,Bodyweight squat,Legs,Body Only
162,Bent Over Two-Dumbbell Row With Palms In,Back,Dumbbell
163,Hex-bar deadlift,Legs,Other
164,Narrow-stance leg press,Legs,Machine
165,Single-leg glute bridge,Legs,Body Only
166,Barbell Curls Lying Against An Incline,Biceps,Barbell
167,Standing Hip Circles,Legs,Body Only
168,Clam,Legs,
169,Narrow Stance Hack Squats,Legs,Machine
170,Seated Close-Grip Concentration Barbell Curl,Biceps,Barbell
171,Smith machine box squat,Legs,Barbell
172,Drop Push,Chest,Other
173,Upside-down pull-up,Back,Other
174,Reverse Barbell Preacher Curls,Biceps,E-Z Curl Bar
175,Close-grip EZ-bar bench press,Chest,E-Z Curl Bar
176,Incline Push-Up,Chest,Body Only
177,Hyperextensions With No Hyperextension Bench,Back,Body Only
178,Parallel Bar Dip,Triceps,Body Only
179,Stairmaster,Legs,Machine
180,Double Leg Butt Kick,Legs,
181,Groiners,Legs,Body Only
182,Neck Press,Chest,Barbell
183,Broad jump,Legs,Body Only
184,Machine Squat,Legs,Machine
185,V-bar pull-up,Back,
186,Ring dip,Triceps,Body Only
187,Standing One-Arm Cable Curl,Biceps,Cable
188,Burpee,Legs,Body Only
189,Double-arm triceps kick-back,Triceps,Dumbbell
190,Dumbbell reverse lunge,Legs,Dumbbell
191,Standing dumbbell shrug,Shoulders,Dumbbell
192,Barbell step-up,Legs,Barbell
193,Feet-elevated bench dip,Triceps,Body Only
194,Bent Over Barbell Row,Back,Barbell
195,Crunches,Abs,Body Only
196,Dumbbell Alternate Bicep Curl,Biceps,Dumbbell
197,Single-arm dumbbell preacher curl,Biceps,Dumbbell
198,Step-up with knee raise,Legs,Body Only
199,Smith machine back squat,Legs,Machine
